timestamp,LinearAccelerometerSensor
1584301273869,0.774501184707632
1584301273927,1.1512108357712834
1584301273987,0.6626051450459378
1584301274046,1.828574035793813
1584301274107,1.1017716662356376
1584301274167,2.379177435089523
1584301274227,1.9882539698559818
1584301274288,1.476044417625274
1584301274347,4.0948713091888935
1584301274407,0.8118060523072321
1584301274467,3.4303343560432253
1584301274527,1.7730837565786388
1584301274591,3.7201919965521855
1584301274647,4.047639870256136
1584301274707,4.048022015598424
1584301274772,3.622910522198343
1584301274827,1.618027326185714
1584301274888,1.5651313749752789
1584301274948,0.36093873358181294
1584301275014,2.3141396354476655
1584301275067,1.4534662317763225
1584301275128,0.6691687885866769
1584301275191,0.8412572277149708
1584301275247,0.6172343610525944
1584301275309,0.33650304076052295
1584301275367,0.25216637687189514
1584301275427,0.7049060727850767
1584301275486,0.3975931833316093
1584301275547,1.0156484161025068
1584301275607,0.35184859185191136
1584301275666,1.179533234671771
1584301275726,0.7350908807764118
1584301275787,0.7767838805353979
1584301275854,0.43396648504018165
1584301275923,0.4165907274027396
1584301275967,0.4450663337933456
1584301276030,0.5760782456697807
1584301276087,0.3191308345717041
1584301276147,0.4160405003807188
1584301276213,0.5899264549226113
1584301276267,0.7332916385183809
1584301276328,0.37734536038325617
1584301276387,0.32318916923226143
1584301276446,0.4519968293604162
1584301276536,0.3224250514708421
1584301276567,0.6402017311585821
1584301276629,0.564671616027396
1584301276688,0.4045126150472264
1584301276750,0.3174879633506735
1584301276807,0.2039234899489517
1584301276866,0.32854922436907225
1584301276929,0.41631435360772895
1584301276987,0.4452409184797178
1584301277060,0.3421391871064505
1584301277108,0.31393222431744877
1584301277169,0.4340339179134502
1584301277229,0.5333201800403278
1584301277286,0.5618553441208946
1584301277351,1.9209568963127348
1584301277408,1.7826773964243474
1584301277467,0.8971881306538745
1584301277527,1.0526202817674548
1584301277587,1.3872610831547512
1584301277647,2.3129034979084637
1584301277707,1.5827488908102523
1584301277766,4.490345665215011
1584301277826,14.787891919963556
1584301277888,20.134870868777472
1584301277950,16.11291429506401
1584301278008,37.273760904329535
1584301278076,46.70316159249152
1584301278128,17.2550174216285
1584301278187,69.93887537745013
1584301278259,39.282443299297206
1584301278306,22.882659130162025
1584301278367,62.36633950084272
1584301278428,44.17331892095258
1584301278489,31.09376962939079
1584301278555,67.19485061534664
1584301278607,25.263683879128383
1584301278676,35.27260086909261
1584301278727,67.21341796611372
